trial,cars,stall,tick,score
1,50,9,2,91.0
1,50,14,3,84.66
1,50,14,4,81.5
1,50,16,5,78.8
1,50,18,6,76.34
1,50,27,7,72.0
1,50,25,8,69.24
1,50,26,9,66.88
1,50,20,10,66.2
1,50,20,11,65.64
1,50,18,12,65.5
1,50,20,13,65.08
1,50,25,14,64.0
1,50,25,15,63.06
1,50,14,16,63.62
1,50,16,17,63.88
1,50,15,18,64.22
1,50,12,19,64.84
1,50,13,20,65.3
1,50,20,21,65.04
1,50,13,22,65.46
1,50,14,23,65.74
1,50,11,24,66.24
1,50,17,25,66.24
1,50,16,26,66.3
1,50,23,27,65.86
1,50,20,28,65.64
1,50,25,29,65.1
1,50,17,30,65.14
1,50,21,31,64.9
1,50,11,32,65.32
1,50,16,33,65.4
1,50,11,34,65.76
1,50,12,35,66.06
1,50,14,36,66.22
1,50,17,37,66.22
1,50,10,38,66.58
1,50,14,39,66.72
1,50,10,40,67.04
1,50,16,41,67.08
1,50,13,42,67.24
1,50,21,43,67.02
1,50,18,44,66.96
1,50,15,45,67.02
1,50,12,46,67.22
1,50,17,47,67.2
1,50,16,48,67.2
1,50,21,49,67.02
1,50,17,50,67.0
1,50,17,51,66.98
1,50,17,52,66.96
1,50,20,53,66.84
1,50,15,54,66.88
1,50,17,55,66.88
1,50,13,56,67.0
1,50,15,57,67.06
1,50,11,58,67.24
1,50,14,59,67.32
1,50,14,60,67.4
1,50,21,61,67.24
1,50,9,62,67.48
1,50,12,63,67.62
1,50,12,64,67.74
1,50,12,65,67.88
1,50,7,66,68.16
1,50,9,67,68.36
1,50,10,68,68.52
1,50,15,69,68.56
1,50,12,70,68.66
1,50,14,71,68.7
1,50,12,72,68.8
1,50,16,73,68.8
1,50,13,74,68.86
1,50,18,75,68.8
1,50,13,76,68.86
1,50,20,77,68.76
1,50,14,78,68.8
1,50,18,79,68.74
1,50,12,80,68.82
1,50,12,81,68.92
1,50,10,82,69.04
1,50,13,83,69.1
1,50,8,84,69.28
1,50,15,85,69.3
1,50,13,86,69.34
1,50,19,87,69.26
1,50,12,88,69.34
1,50,13,89,69.4
1,50,12,90,69.46
1,50,11,91,69.56
1,50,6,92,69.76
1,50,17,93,69.72
1,50,15,94,69.72
1,50,17,95,69.68
1,50,10,96,69.8
1,50,18,97,69.74
1,50,13,98,69.78
1,50,20,99,69.68
1,50,15,100,69.68
1,50,19,101,69.6
1,50,5,102,69.8
1,50,12,103,69.86
1,50,11,104,69.94
1,50,14,105,69.96
1,50,12,106,70.02
1,50,14,107,70.04
1,50,11,108,70.12
1,50,19,109,70.04
1,50,10,110,70.12
1,50,12,111,70.18
1,50,10,112,70.26
1,50,16,113,70.24
1,50,12,114,70.3
1,50,15,115,70.3
1,50,13,116,70.32
1,50,27,117,70.12
1,50,12,118,70.16
1,50,16,119,70.16
1,50,11,120,70.22
1,50,16,121,70.2
1,50,13,122,70.22
1,50,17,123,70.2
1,50,15,124,70.2
1,50,18,125,70.14
1,50,10,126,70.22
1,50,15,127,70.22
1,50,9,128,70.32
1,50,12,129,70.36
1,50,14,130,70.36
1,50,17,131,70.34
1,50,10,132,70.4
1,50,12,133,70.46
1,50,10,134,70.52
1,50,17,135,70.48
1,50,16,136,70.48
1,50,13,137,70.5
1,50,11,138,70.56
1,50,17,139,70.52
1,50,14,140,70.52
1,50,17,141,70.5
1,50,18,142,70.46
1,50,21,143,70.36
1,50,15,144,70.36
1,50,17,145,70.34
1,50,10,146,70.4
1,50,17,147,70.36
1,50,11,148,70.42
1,50,12,149,70.46
1,50,12,150,70.5
1,50,13,151,70.52
1,50,14,152,70.52
1,50,12,153,70.56
1,50,9,154,70.64
1,50,12,155,70.68
1,50,16,156,70.66
1,50,20,157,70.58
1,50,12,158,70.62
1,50,13,159,70.64
1,50,14,160,70.64
1,50,15,161,70.64
1,50,13,162,70.66
1,50,15,163,70.66
1,50,9,164,70.74
1,50,14,165,70.74
1,50,11,166,70.78
1,50,12,167,70.82
1,50,13,168,70.84
1,50,14,169,70.84
1,50,11,170,70.88
1,50,12,171,70.92
1,50,14,172,70.92
1,50,14,173,70.92
1,50,8,174,71.0
1,50,14,175,71.0
1,50,8,176,71.08
1,50,10,177,71.12
1,50,10,178,71.18
1,50,15,179,71.18
1,50,11,180,71.22
1,50,16,181,71.2
1,50,17,182,71.16
1,50,17,183,71.14
1,50,18,184,71.1
1,50,20,185,71.04
1,50,12,186,71.06
1,50,13,187,71.08
1,50,10,188,71.12
1,50,17,189,71.1
1,50,7,190,71.18
1,50,8,191,71.24
1,50,15,192,71.24
1,50,18,193,71.2
1,50,5,194,71.3
1,50,15,195,71.3
1,50,11,196,71.32
1,50,15,197,71.32
1,50,15,198,71.32
1,50,20,199,71.26
1,50,10,200,71.3
1,50,15,201,71.3
1,50,11,202,71.32
1,50,12,203,71.34
1,50,14,204,71.36
1,50,18,205,71.32
1,50,11,206,71.34
1,50,14,207,71.36
1,50,11,208,71.38
1,50,12,209,71.4
1,50,9,210,71.46
1,50,14,211,71.46
1,50,11,212,71.5
1,50,15,213,71.48
1,50,10,214,71.52
1,50,17,215,71.5
1,50,12,216,71.52
1,50,13,217,71.52
1,50,12,218,71.56
1,50,16,219,71.54
1,50,13,220,71.54
1,50,17,221,71.52
1,50,11,222,71.54
1,50,18,223,71.52
1,50,11,224,71.54
1,50,13,225,71.56
1,50,13,226,71.56
1,50,15,227,71.56
1,50,8,228,71.62
1,50,15,229,71.6
1,50,10,230,71.64
1,50,20,231,71.6
1,50,11,232,71.62
1,50,14,233,71.62
1,50,11,234,71.64
1,50,14,235,71.66
1,50,12,236,71.66
1,50,15,237,71.66
1,50,12,238,71.68
1,50,14,239,71.68
1,50,10,240,71.72
1,50,12,241,71.74
1,50,13,242,71.74
1,50,13,243,71.76
1,50,7,244,71.82
1,50,14,245,71.82
1,50,14,246,71.82
1,50,14,247,71.82
1,50,10,248,71.84
1,50,9,249,71.88
1,50,14,250,71.88
1,50,19,251,71.84
1,50,12,252,71.86
1,50,15,253,71.86
1,50,12,254,71.88
1,50,14,255,71.88
1,50,6,256,71.94
1,50,16,257,71.92
1,50,17,258,71.9
1,50,20,259,71.86
1,50,12,260,71.86
1,50,14,261,71.86
1,50,12,262,71.88
1,50,20,263,71.84
1,50,15,264,71.84
1,50,20,265,71.78
1,50,14,266,71.78
1,50,11,267,71.82
1,50,10,268,71.84
1,50,13,269,71.86
1,50,11,270,71.88
1,50,12,271,71.88
1,50,11,272,71.92
1,50,15,273,71.9
1,50,12,274,71.92
1,50,15,275,71.92
1,50,15,276,71.9
1,50,16,277,71.9
1,50,7,278,71.94
1,50,9,279,71.98
1,50,6,280,72.04
1,50,11,281,72.06
1,50,11,282,72.08
1,50,19,283,72.04
1,50,14,284,72.04
1,50,19,285,72.0
1,50,15,286,72.0
1,50,20,287,71.96
1,50,10,288,71.98
1,50,12,289,72.0
1,50,10,290,72.02
1,50,14,291,72.02
1,50,8,292,72.06
1,50,10,293,72.1
1,50,9,294,72.12
1,50,17,295,72.1
1,50,13,296,72.12
