trial,cars,stall,tick,score
1,200,116,2,71.0
1,200,128,3,59.34
1,200,128,4,53.5
1,200,112,5,51.6
1,200,96,6,51.66
1,200,125,7,49.65
1,200,124,8,48.19
1,200,132,9,46.61
1,200,114,10,46.25
1,200,111,11,46.09
1,200,114,12,45.84
1,200,111,13,45.73
1,200,104,14,45.9
1,200,119,15,45.53
1,200,116,16,45.31
1,200,102,17,45.53
1,200,112,18,45.45
1,200,116,19,45.27
1,200,121,20,44.98
1,200,134,21,44.41
1,200,121,22,44.18
1,200,130,23,43.78
1,200,122,24,43.59
1,200,107,25,43.7
1,200,121,26,43.54
1,200,113,27,43.53
1,200,114,28,43.52
1,200,114,29,43.5
1,200,109,30,43.56
1,200,110,31,43.62
1,200,109,32,43.67
1,200,98,33,43.9
1,200,123,34,43.73
1,200,124,35,43.57
1,200,111,36,43.59
1,200,106,37,43.69
1,200,102,38,43.83
1,200,122,39,43.7
1,200,93,40,43.95
1,200,107,41,44.01
1,200,108,42,44.06
1,200,121,43,43.95
1,200,105,44,44.03
1,200,118,45,43.97
1,200,117,46,43.91
1,200,115,47,43.88
1,200,112,48,43.88
1,200,111,49,43.9
1,200,114,50,43.88
1,200,108,51,43.92
1,200,115,52,43.9
1,200,117,53,43.85
1,200,122,54,43.76
1,200,100,55,43.88
1,200,108,56,43.91
1,200,123,57,43.81
1,200,99,58,43.93
1,200,118,59,43.88
1,200,106,60,43.94
1,200,121,61,43.86
1,200,115,62,43.84
1,200,115,63,43.81
1,200,106,64,43.87
1,200,115,65,43.84
1,200,112,66,43.85
1,200,105,67,43.91
1,200,102,68,43.98
1,200,121,69,43.91
1,200,112,70,43.91
1,200,117,71,43.88
1,200,104,72,43.94
1,200,112,73,43.94
1,200,108,74,43.97
1,200,112,75,43.97
1,200,123,76,43.9
1,200,112,77,43.9
1,200,103,78,43.95
1,200,107,79,43.98
1,200,101,80,44.05
1,200,102,81,44.12
1,200,105,82,44.16
1,200,122,83,44.09
1,200,121,84,44.04
1,200,116,85,44.02
1,200,106,86,44.05
1,200,121,87,44.0
1,200,106,88,44.03
1,200,104,89,44.08
1,200,109,90,44.09
1,200,105,91,44.13
1,200,103,92,44.18
1,200,111,93,44.19
1,200,117,94,44.16
1,200,124,95,44.09
1,200,110,96,44.1
1,200,123,97,44.04
1,200,112,98,44.04
1,200,121,99,43.99
1,200,108,100,44.02
1,200,118,101,43.98
1,200,108,102,44.01
1,200,120,103,43.97
1,200,112,104,43.97
1,200,119,105,43.94
1,200,112,106,43.94
1,200,112,107,43.94
1,200,112,108,43.94
1,200,125,109,43.88
1,200,116,110,43.86
1,200,126,111,43.8
1,200,109,112,43.81
1,200,126,113,43.75
1,200,109,114,43.77
1,200,111,115,43.77
1,200,98,116,43.84
1,200,124,117,43.78
