trial,cars,stall,tick,score
1,50,16,267,68.0
1,50,11,268,78.0
1,50,20,269,60.0
1,50,14,270,72.0
1,50,16,271,68.0
1,50,16,272,68.0
1,50,25,273,50.0
1,50,20,274,60.0
1,50,20,275,60.0
1,50,16,276,68.0
1,50,16,277,68.0
1,50,10,278,80.0
1,50,15,279,70.0
1,50,12,280,76.0
1,50,20,281,60.0
1,50,13,282,74.0
1,50,17,283,66.0
1,50,12,284,76.0
1,50,15,285,70.0
1,50,15,286,70.0
1,50,22,287,56.0
1,50,21,288,58.0
1,50,23,289,54.0
1,50,12,290,76.0
1,50,17,291,66.0
1,50,18,292,64.0
1,50,17,293,66.0
1,50,10,294,80.0
1,50,16,295,68.0
1,50,9,296,82.0
1,50,14,297,72.0
1,50,12,298,76.0
1,50,18,299,64.0
1,50,19,300,62.0
1,50,24,301,52.0
1,50,17,302,66.0
1,50,15,303,70.0
1,50,12,304,76.0
1,50,16,305,68.0
1,50,16,306,68.0
1,50,19,307,62.0
1,50,15,308,70.0
1,50,18,309,64.0
1,50,17,310,66.0
1,50,16,311,68.0
1,50,8,312,84.0
1,50,12,313,76.0
1,50,15,314,70.0
1,50,20,315,60.0
1,50,14,316,72.0
1,50,17,317,66.0
1,50,15,318,70.0
1,50,15,319,70.0
1,50,15,320,70.0
1,50,19,321,62.0
1,50,13,322,74.0
1,50,16,323,68.0
1,50,14,324,72.0
1,50,16,325,68.0
1,50,14,326,72.0
1,50,17,327,66.0
1,50,14,328,72.0
1,50,18,329,64.0
1,50,17,330,66.0
1,50,19,331,62.0
1,50,10,332,80.0
1,50,17,333,66.0
1,50,14,334,72.0
1,50,16,335,68.0
1,50,12,336,76.0
1,50,18,337,64.0
1,50,7,338,86.0
1,50,12,339,76.0
1,50,10,340,80.0
1,50,16,341,68.0
1,50,20,342,60.0
1,50,24,343,52.0
1,50,16,344,68.0
1,50,18,345,64.0
1,50,14,346,72.0
1,50,17,347,66.0
1,50,18,348,64.0
1,50,21,349,58.0
1,50,13,350,74.0
1,50,13,351,74.0
1,50,10,352,80.0
1,50,11,353,78.0
1,50,13,354,74.0
1,50,23,355,54.0
1,50,19,356,62.0
1,50,24,357,52.0
1,50,18,358,64.0
1,50,20,359,60.0
1,50,12,360,76.0
1,50,15,361,70.0
1,50,10,362,80.0
1,50,18,363,64.0
1,50,18,364,64.0
1,50,24,365,52.0
1,50,15,366,70.0
1,50,16,367,68.0
1,50,16,368,68.0
1,50,19,369,62.0
1,50,8,370,84.0
1,50,9,371,82.0
1,50,15,372,70.0
1,50,19,373,62.0
1,50,16,374,68.0
1,50,18,375,64.0
1,50,13,376,74.0
1,50,17,377,66.0
1,50,14,378,72.0
1,50,16,379,68.0
1,50,12,380,76.0
1,50,22,381,56.0
1,50,21,382,58.0
1,50,26,383,48.0
1,50,17,384,66.0
1,50,19,385,62.0
1,50,11,386,78.0
1,50,10,387,80.0
1,50,19,388,62.0
1,50,18,389,64.0
1,50,16,390,68.0
1,50,21,391,58.0
1,50,15,392,70.0
1,50,19,393,62.0
1,50,14,394,72.0
1,50,15,395,70.0
1,50,15,396,70.0
1,50,18,397,64.0
1,50,10,398,80.0
1,50,13,399,74.0
1,50,10,400,80.0
1,50,19,401,62.0
1,50,19,402,62.0
1,50,20,403,60.0
1,50,15,404,70.0
1,50,22,405,56.0
1,50,14,406,72.0
1,50,19,407,62.0
1,50,15,408,70.0
1,50,16,409,68.0
1,50,17,410,66.0
1,50,22,411,56.0
1,50,16,412,68.0
1,50,19,413,62.0
1,50,13,414,74.0
1,50,14,415,72.0
1,50,11,416,78.0
1,50,20,417,60.0
1,50,19,418,62.0
1,50,17,419,66.0
1,50,14,420,72.0
1,50,14,421,72.0
1,50,15,422,70.0
1,50,15,423,70.0
1,50,14,424,72.0
1,50,17,425,66.0
1,50,9,426,82.0
1,50,15,427,70.0
1,50,18,428,64.0
1,50,21,429,58.0
1,50,19,430,62.0
1,50,20,431,60.0
1,50,13,432,74.0
1,50,19,433,62.0
1,50,15,434,70.0
1,50,17,435,66.0
1,50,13,436,74.0
1,50,25,437,50.0
1,50,16,438,68.0
1,50,16,439,68.0
1,50,15,440,70.0
1,50,14,441,72.0
1,50,13,442,74.0
1,50,20,443,60.0
1,50,17,444,66.0
1,50,19,445,62.0
1,50,9,446,82.0
1,50,10,447,80.0
1,50,12,448,76.0
1,50,15,449,70.0
1,50,11,450,78.0
1,50,16,451,68.0
1,50,13,452,74.0
1,50,19,453,62.0
1,50,17,454,66.0
1,50,26,455,48.0
1,50,17,456,66.0
1,50,24,457,52.0
1,50,11,458,78.0
1,50,17,459,66.0
1,50,15,460,70.0
1,50,19,461,62.0
1,50,13,462,74.0
1,50,17,463,66.0
1,50,17,464,66.0
1,50,20,465,60.0
1,50,10,466,80.0
1,50,14,467,72.0
1,50,18,468,64.0
1,50,22,469,56.0
1,50,22,470,56.0
1,50,30,471,40.0
1,50,21,472,58.0
1,50,21,473,58.0
1,50,11,474,78.0
1,50,16,475,68.0
1,50,14,476,72.0
1,50,18,477,64.0
1,50,15,478,70.0
1,50,18,479,64.0
1,50,18,480,64.0
1,50,19,481,62.0
1,50,18,482,64.0
1,50,22,483,56.0
1,50,14,484,72.0
1,50,19,485,62.0
1,50,13,486,74.0
1,50,16,487,68.0
1,50,16,488,68.0
1,50,16,489,68.0
1,50,14,490,72.0
1,50,20,491,60.0
1,50,16,492,68.0
1,50,22,493,56.0
1,50,15,494,70.0
1,50,17,495,66.0
1,50,8,496,84.0
1,50,12,497,76.0
1,50,17,498,66.0
1,50,18,499,64.0
1,50,19,500,62.0
1,50,24,501,52.0
1,50,15,502,70.0
1,50,14,503,72.0
1,50,12,504,76.0
1,50,13,505,74.0
1,50,13,506,74.0
1,50,15,507,70.0
1,50,12,508,76.0
1,50,15,509,70.0
1,50,12,510,76.0
1,50,17,511,66.0
1,50,15,512,70.0
1,50,19,513,62.0
1,50,17,514,66.0
1,50,22,515,56.0
1,50,7,516,86.0
1,50,13,517,74.0
1,50,6,518,88.0
1,50,14,519,72.0
1,50,14,520,72.0
1,50,21,521,58.0
1,50,17,522,66.0
