trial,cars,stall,tick,score
1,50,15,2,85.0
1,50,22,3,75.34
1,50,18,4,72.5
1,50,24,5,68.4
1,50,24,6,65.66
1,50,29,7,62.28
1,50,31,8,59.24
1,50,35,9,56.0
1,50,38,10,52.8
1,50,40,11,49.82
1,50,40,12,47.34
1,50,44,13,44.62
1,50,40,14,42.86
1,50,41,15,41.2
1,50,40,16,39.88
1,50,40,17,38.7
1,50,37,18,38.0
1,50,33,19,37.78
1,50,33,20,37.6
1,50,36,21,37.14
1,50,34,22,36.9
1,50,34,23,36.7
1,50,35,24,36.42
1,50,37,25,36.0
1,50,40,26,35.38
1,50,39,27,34.88
1,50,35,28,34.72
1,50,35,29,34.56
1,50,31,30,34.66
1,50,32,31,34.7
1,50,30,32,34.88
1,50,32,33,34.9
1,50,32,34,34.94
1,50,35,35,34.8
1,50,35,36,34.66
1,50,36,37,34.48
1,50,37,38,34.26
1,50,35,39,34.16
1,50,33,40,34.16
1,50,35,41,34.04
1,50,35,42,33.96
1,50,33,43,33.96
1,50,36,44,33.82
1,50,34,45,33.78
1,50,32,46,33.82
1,50,32,47,33.88
1,50,34,48,33.84
1,50,36,49,33.72
1,50,31,50,33.8
1,50,33,51,33.8
1,50,32,52,33.84
1,50,33,53,33.84
1,50,34,54,33.82
1,50,36,55,33.7
1,50,35,56,33.64
1,50,39,57,33.44
1,50,33,58,33.44
1,50,35,59,33.38
1,50,34,60,33.36
1,50,35,61,33.32
1,50,35,62,33.26
1,50,36,63,33.18
1,50,32,64,33.22
1,50,34,65,33.2
1,50,35,66,33.16
1,50,36,67,33.08
1,50,32,68,33.12
1,50,33,69,33.14
1,50,34,70,33.12
1,50,37,71,33.02
1,50,40,72,32.84
1,50,40,73,32.66
1,50,35,74,32.62
1,50,36,75,32.56
1,50,31,76,32.64
1,50,34,77,32.62
1,50,32,78,32.66
1,50,34,79,32.66
1,50,35,80,32.62
1,50,38,81,32.52
1,50,33,82,32.54
1,50,36,83,32.48
1,50,37,84,32.4
1,50,37,85,32.32
1,50,30,86,32.42
1,50,31,87,32.48
1,50,32,88,32.52
1,50,34,89,32.52
1,50,30,90,32.6
1,50,27,91,32.74
1,50,31,92,32.8
1,50,31,93,32.86
1,50,31,94,32.92
1,50,35,95,32.88
1,50,29,96,32.98
1,50,28,97,33.1
1,50,27,98,33.22
1,50,28,99,33.34
1,50,23,100,33.54
1,50,26,101,33.68
1,50,26,102,33.82
1,50,34,103,33.8
1,50,18,104,34.1
1,50,17,105,34.4
1,50,17,106,34.7
1,50,25,107,34.84
1,50,22,108,35.04
1,50,24,109,35.2
1,50,17,110,35.48
1,50,20,111,35.7
1,50,22,112,35.88
1,50,27,113,35.96
1,50,16,114,36.24
1,50,19,115,36.46
1,50,21,116,36.66
1,50,23,117,36.8
1,50,29,118,36.84
1,50,31,119,36.86
1,50,29,120,36.9
1,50,32,121,36.9
1,50,17,122,37.14
1,50,22,123,37.28
1,50,16,124,37.54
1,50,17,125,37.76
1,50,14,126,38.04
1,50,20,127,38.2
1,50,22,128,38.34
1,50,24,129,38.44
1,50,18,130,38.64
1,50,23,131,38.76
1,50,16,132,38.98
1,50,23,133,39.1
1,50,15,134,39.32
1,50,22,135,39.46
1,50,18,136,39.64
1,50,27,137,39.68
1,50,25,138,39.76
1,50,27,139,39.8
1,50,24,140,39.88
1,50,30,141,39.88
1,50,21,142,40.02
1,50,18,143,40.18
1,50,17,144,40.36
1,50,22,145,40.46
1,50,20,146,40.6
1,50,22,147,40.7
1,50,14,148,40.92
1,50,20,149,41.04
1,50,19,150,41.18
1,50,25,151,41.24
1,50,22,152,41.34
1,50,21,153,41.46
1,50,15,154,41.64
1,50,17,155,41.8
1,50,20,156,41.92
1,50,23,157,41.98
1,50,12,158,42.2
1,50,14,159,42.38
