trial,cars,stall,tick,score
1,32,9,267,73.88
1,32,5,268,73.91
1,32,5,269,73.97
1,32,8,270,73.97
1,32,13,271,73.91
1,32,8,272,73.91
1,32,9,273,73.91
1,32,6,274,73.94
1,32,10,275,73.91
1,32,4,276,73.97
1,32,7,277,73.97
1,32,8,278,73.97
1,32,9,279,73.97
1,32,6,280,74.0
1,32,8,281,74.0
1,32,6,282,74.03
1,32,11,283,74.0
1,32,8,284,74.0
1,32,9,285,74.0
1,32,6,286,74.03
1,32,8,287,74.03
1,32,3,288,74.06
1,32,3,289,74.13
1,32,8,290,74.13
1,32,13,291,74.09
1,32,4,292,74.13
1,32,6,293,74.16
1,32,6,294,74.19
1,32,11,295,74.16
1,32,8,296,74.16
1,32,9,297,74.16
1,32,5,298,74.19
1,32,10,299,74.16
1,32,4,300,74.22
1,32,7,301,74.22
1,32,8,302,74.22
1,32,10,303,74.22
1,32,7,304,74.22
1,32,9,305,74.22
1,32,6,306,74.22
1,32,9,307,74.22
1,32,3,308,74.28
1,32,5,309,74.31
1,32,3,310,74.38
1,32,3,311,74.41
1,32,4,312,74.47
1,32,10,313,74.44
1,32,5,314,74.47
1,32,9,315,74.47
1,32,4,316,74.5
1,32,9,317,74.5
1,32,2,318,74.56
1,32,7,319,74.56
1,32,6,320,74.59
1,32,6,321,74.63
1,32,4,322,74.66
1,32,10,323,74.63
1,32,5,324,74.66
1,32,11,325,74.63
1,32,6,326,74.66
1,32,10,327,74.63
1,32,5,328,74.66
1,32,4,329,74.72
1,32,3,330,74.75
1,32,8,331,74.75
1,32,10,332,74.75
1,32,14,333,74.69
1,32,7,334,74.69
1,32,6,335,74.72
1,32,6,336,74.72
1,32,10,337,74.72
1,32,10,338,74.69
1,32,10,339,74.69
1,32,5,340,74.72
1,32,5,341,74.72
1,32,4,342,74.78
1,32,7,343,74.78
1,32,5,344,74.81
1,32,7,345,74.81
1,32,6,346,74.84
1,32,10,347,74.81
1,32,9,348,74.81
1,32,11,349,74.78
1,32,5,350,74.81
1,32,11,351,74.78
1,32,2,352,74.84
1,32,7,353,74.84
1,32,6,354,74.88
1,32,8,355,74.88
1,32,7,356,74.88
1,32,9,357,74.88
1,32,2,358,74.91
1,32,4,359,74.97
1,32,6,360,74.97
1,32,9,361,74.97
1,32,5,362,75.0
1,32,10,363,74.97
1,32,7,364,74.97
1,32,9,365,74.97
1,32,9,366,74.97
1,32,9,367,74.97
1,32,5,368,74.97
1,32,7,369,75.0
1,32,5,370,75.03
1,32,10,371,75.0
1,32,7,372,75.0
1,32,9,373,75.0
1,32,6,374,75.03
1,32,6,375,75.03
1,32,4,376,75.06
1,32,5,377,75.09
1,32,8,378,75.09
1,32,10,379,75.06
1,32,9,380,75.06
1,32,15,381,75.0
1,32,9,382,75.0
1,32,8,383,75.0
1,32,4,384,75.03
1,32,10,385,75.03
1,32,6,386,75.03
1,32,9,387,75.03
1,32,3,388,75.06
1,32,4,389,75.09
1,32,5,390,75.13
1,32,11,391,75.09
1,32,5,392,75.13
1,32,6,393,75.13
1,32,2,394,75.19
1,32,8,395,75.19
1,32,4,396,75.22
1,32,6,397,75.22
1,32,5,398,75.25
1,32,11,399,75.22
1,32,9,400,75.22
1,32,11,401,75.19
1,32,4,402,75.22
1,32,8,403,75.22
1,32,5,404,75.25
1,32,8,405,75.25
1,32,8,406,75.25
1,32,10,407,75.22
1,32,8,408,75.22
1,32,10,409,75.22
1,32,8,410,75.22
1,32,8,411,75.22
1,32,1,412,75.25
1,32,8,413,75.25
1,32,9,414,75.25
1,32,3,415,75.28
1,32,5,416,75.31
1,32,8,417,75.31
1,32,7,418,75.31
1,32,7,419,75.34
1,32,6,420,75.34
1,32,8,421,75.34
1,32,4,422,75.38
1,32,8,423,75.38
1,32,5,424,75.38
1,32,9,425,75.38
1,32,4,426,75.41
1,32,7,427,75.41
1,32,4,428,75.44
1,32,4,429,75.47
1,32,6,430,75.5
1,32,11,431,75.47
1,32,6,432,75.47
1,32,6,433,75.5
1,32,5,434,75.5
1,32,7,435,75.53
1,32,6,436,75.53
1,32,6,437,75.53
1,32,2,438,75.59
1,32,5,439,75.59
1,32,3,440,75.63
1,32,9,441,75.63
1,32,5,442,75.66
1,32,8,443,75.66
1,32,4,444,75.69
1,32,4,445,75.69
1,32,5,446,75.72
1,32,4,447,75.75
1,32,3,448,75.78
1,32,9,449,75.78
1,32,7,450,75.78
1,32,8,451,75.78
1,32,3,452,75.81
1,32,7,453,75.81
1,32,4,454,75.84
1,32,7,455,75.84
1,32,3,456,75.88
1,32,9,457,75.88
1,32,5,458,75.88
1,32,5,459,75.91
1,32,4,460,75.94
1,32,6,461,75.94
1,32,3,462,75.97
1,32,4,463,76.0
1,32,3,464,76.03
1,32,6,465,76.03
1,32,5,466,76.06
1,32,6,467,76.06
1,32,7,468,76.06
1,32,7,469,76.09
1,32,7,470,76.09
1,32,9,471,76.06
1,32,3,472,76.09
1,32,6,473,76.13
1,32,2,474,76.16
1,32,4,475,76.19
1,32,6,476,76.19
1,32,11,477,76.16
1,32,12,478,76.13
1,32,10,479,76.13
1,32,6,480,76.13
1,32,7,481,76.13
1,32,3,482,76.16
1,32,8,483,76.16
1,32,2,484,76.19
1,32,4,485,76.22
1,32,2,486,76.25
1,32,6,487,76.28
1,32,5,488,76.28
1,32,9,489,76.28
1,32,2,490,76.31
1,32,3,491,76.34
1,32,4,492,76.38
1,32,10,493,76.34
1,32,9,494,76.34
1,32,9,495,76.34
1,32,8,496,76.34
1,32,8,497,76.31
1,32,4,498,76.34
1,32,8,499,76.34
1,32,6,500,76.34
1,32,7,501,76.38
1,32,4,502,76.38
1,32,7,503,76.38
1,32,3,504,76.41
1,32,6,505,76.44
1,32,3,506,76.44
1,32,5,507,76.47
1,32,7,508,76.47
1,32,9,509,76.47
1,32,9,510,76.44
1,32,8,511,76.44
1,32,6,512,76.47
1,32,6,513,76.47
1,32,3,514,76.5
1,32,6,515,76.5
1,32,7,516,76.5
1,32,8,517,76.5
1,32,6,518,76.5
1,32,8,519,76.5
1,32,4,520,76.53
1,32,3,521,76.56
1,32,5,522,76.56
1,32,9,523,76.56
1,32,5,524,76.59
1,32,10,525,76.56
1,32,7,526,76.56
1,32,6,527,76.56
1,32,8,528,76.56
1,32,13,529,76.53
1,32,7,530,76.53
1,32,4,531,76.56
1,32,4,532,76.59
1,32,5,533,76.59
1,32,5,534,76.63
1,32,4,535,76.63
1,32,1,536,76.69
1,32,3,537,76.69
1,32,5,538,76.72
1,32,7,539,76.72
1,32,4,540,76.75
